domain,sector
dgshipping.gov.in,Transport
services.gst.gov.in,BFSI
www.bseindia.com,BFSI
www.icclindia.com,Gov
gailonline.com,PE
rbi.org.in,BFSI
www.msei.in,BFSI
mclear.in,Gov
www.isro.gov.in,SPE
www.wbsedcl.in,PE
nsdl.co.in,BFSI
www.cdslindia.com,BFSI
iocl.com,PE
nha.gov.in,Health
www.mcxindia.com,BFSI
www.mcxccl.com,BFSI
www.nplindia.org,Gov
uidai.gov.in/en/,Gov
posoco.in/en/,PE
www.powergrid.in,PE
sldc.bsptcl.co.in,PE
www.sldcmpindia.com,PE
kptclsldc.in,PE
www.npci.org.in,BFSI
www.hdfcbank.com,BFSI
www.icicibank.com,BFSI
www.sldcorissa.org.in,PE
wbsldc.in,PE
www.py.gov.in,Gov
www.myvi.in,Telecom
mtnl.in,Telecom
www.bsnl.co.in,Telecom
licindia.in,BFSI
sldccg.com,PE
hpsldc.com,PE
www.sldcguj.com,PE
www.bbmb.gov.in,PE
censusindia.gov.in,Gov
www.pnbindia.in,BFSI
www.bankofbaroda.in,BFSI
www.unionbankofindia.co.in,BFSI
www.onlinesbi.sbi,BFSI
sldc.rajasthan.gov.in/rrvpnl/,PE
bescom.karnataka.gov.in,PE
hpgcl.org.in,PE
sldckerala.com,PE
www.punjabsldc.org,PE
www.cesc.co.in,PE
www.delhisldc.org,PE
www.tatapower-ddl.com,PE
www.bsesdelhi.com,PE
www.nic.in,SPE
www.kotak.com,BFSI
canarabank.com,BFSI
www.axisbank.com,BFSI
www.mahatransco.in,Transport
www.dvc.gov.in,PE
www.tatapower.com,PE
upptcl.org,PE
www.adanienergysolutions.com,PE
tgsldc.in,PE
uksldc.in,PE
bankofindia.co.in,BFSI
www.indianbank.in,BFSI
centralbank.net.in,BFSI
www.paytmbank.com,BFSI
www.idbibank.in,BFSI
sldc.aptransco.co.in,PE
pedservices.py.gov.in,PE
tnebsldc.org,PE
www.aegcl.co.in,PE
mpez.co.in,PE
portal.mpcz.in,PE
mpwzservices.mpwin.co.in,PE
noidapower.com,PE
crsorgi.gov.in,Gov
www.hdfccredila.com,BFSI
www.icicifoundation.org,BFSI
www.jio.com,Telecom
mtnldelhi.in,Telecom
www.licpensionfund.in,BFSI
rewardz.sbi,BFSI
online.canarabank.in,BFSI
omni.axisbank.co.in,BFSI
www.adanielectricity.com,PE
centralbankofindia.co.in,BFSI
www.hdfcsec.com,BFSI
www.icicilombard.com,BFSI
www.hdfcfund.com,BFSI
www.iciciprulife.com,BFSI
www.hdfclife.com,BFSI
www.icicipruamc.com,BFSI
www.hdfcergo.com,BFSI
www.iciciventure.com,BFSI
www.hdfcpension.com,BFSI
www.icicidirect.com,BFSI
www.hdbfs.com,BFSI
www.icicisecuritiespd.com,BFSI
www.hdfcsales.com,BFSI
www.icicihfc.com,BFSI
www.hdfccapital.com,BFSI
www.iciciinvestments.com,BFSI
www.tata.com,SPE
bhartihexacom.in,Telecom
www.d2h.com,Telecom
liccards.in,BFSI
www.licmf.com,BFSI
www.lichousing.com,BFSI
www.lichflamc.com,BFSI
sbi.co.in,BFSI
www.sbicard.com,BFSI
sbius.statebank,BFSI
www.sbimf.com,BFSI
corp.onlinesbi.sbi,BFSI
homeloans.sbi,BFSI
www.sbiepay.sbi,BFSI
fastag.bank.sbi,BFSI
www.sbilife.co.in,BFSI
retail.onlinesbi.sbi,BFSI
application.axisbank.co.in,BFSI
www.sci.gov.in,Gov
iob.in,BFSI
indusind.com,BFSI
nciipc.gov.in,Gov
ntro.gov.in,Gov
main.mohfw.gov.in,Health
